time,open,high,low,close,Plot,Plot,Plot,Plot
2025-10-07T06:31:00-04:00,186.07,186.07,185.91,185.98,NaN,NaN,NaN,NaN
2025-10-07T06:32:00-04:00,186,186.1,186,186.07,NaN,NaN,NaN,NaN
2025-10-07T06:33:00-04:00,186.09,186.09,186.02,186.06,NaN,NaN,NaN,NaN
2025-10-07T06:34:00-04:00,186.07,186.09,186.05,186.07,NaN,NaN,NaN,NaN
2025-10-07T06:35:00-04:00,186.06,186.14,186.05,186.11,NaN,NaN,NaN,NaN
2025-10-07T06:36:00-04:00,186.11,186.24,186.11,186.24,NaN,NaN,NaN,NaN
2025-10-07T06:37:00-04:00,186.21,186.25,186.2,186.25,NaN,NaN,NaN,NaN
2025-10-07T06:38:00-04:00,186.25,186.27,186.22,186.27,NaN,NaN,NaN,NaN
2025-10-07T06:39:00-04:00,186.28,186.3,186.27,186.29,NaN,NaN,NaN,NaN
2025-10-07T06:40:00-04:00,186.28,186.28,186.23,186.24,NaN,NaN,NaN,NaN
2025-10-07T06:41:00-04:00,186.21,186.29,186.19,186.28,NaN,NaN,NaN,NaN
2025-10-07T06:42:00-04:00,186.28,186.29,186.21,186.23,NaN,NaN,NaN,NaN
2025-10-07T06:43:00-04:00,186.23,186.25,186.2,186.22,NaN,NaN,NaN,NaN
2025-10-07T06:44:00-04:00,186.2,186.22,186.16,186.18,NaN,NaN,NaN,NaN
2025-10-07T06:45:00-04:00,186.16,186.2,186.16,186.18,NaN,NaN,NaN,NaN
2025-10-07T06:46:00-04:00,186.2,186.22,186.14,186.16,NaN,NaN,NaN,NaN
2025-10-07T06:47:00-04:00,186.17,186.18,186.15,186.16,NaN,NaN,NaN,NaN
2025-10-07T06:48:00-04:00,186.15,186.17,186.11,186.17,NaN,NaN,NaN,NaN
2025-10-07T06:49:00-04:00,186.16,186.19,186.16,186.18,NaN,NaN,NaN,NaN
2025-10-07T06:50:00-04:00,186.19,186.19,186.15,186.15,NaN,NaN,NaN,NaN
2025-10-07T06:51:00-04:00,186.16,186.17,186.15,186.15,NaN,NaN,NaN,NaN
2025-10-07T06:52:00-04:00,186.15,186.2,186.15,186.185,NaN,NaN,NaN,NaN
2025-10-07T06:53:00-04:00,186.19,186.2,186.18,186.18,NaN,NaN,NaN,NaN
2025-10-07T06:54:00-04:00,186.165,186.18,186.15,186.18,NaN,NaN,NaN,NaN
2025-10-07T06:55:00-04:00,186.19,186.28,186.19,186.275,NaN,NaN,NaN,NaN
2025-10-07T06:56:00-04:00,186.27,186.3,186.2,186.2,NaN,NaN,NaN,NaN
2025-10-07T06:57:00-04:00,186.2,186.2,186.155,186.16,NaN,NaN,NaN,NaN
2025-10-07T06:58:00-04:00,186.16,186.16,186.14,186.16,NaN,NaN,NaN,NaN
2025-10-07T06:59:00-04:00,186.155,186.17,186.05,186.08,NaN,NaN,NaN,NaN
2025-10-07T07:00:00-04:00,186.07,186.18,186.06,186.18,NaN,NaN,NaN,NaN
2025-10-07T07:01:00-04:00,186.14,186.18,186.12,186.14,NaN,NaN,NaN,NaN
2025-10-07T07:02:00-04:00,186.18,186.19,186.13,186.14,NaN,NaN,NaN,NaN
2025-10-07T07:03:00-04:00,186.15,186.15,186.13,186.14,NaN,NaN,NaN,NaN
2025-10-07T07:04:00-04:00,186.14,186.18,186.14,186.16,NaN,NaN,NaN,NaN
2025-10-07T07:05:00-04:00,186.165,186.21,186.12,186.135,NaN,NaN,NaN,NaN
2025-10-07T07:06:00-04:00,186.14,186.16,186.12,186.14,NaN,NaN,NaN,NaN
