time,open,high,low,close,Plot,Plot,Plot,Plot
2022-02-03,24.458,25.077,23.78,23.948,NaN,NaN,NaN,NaN
2022-02-04,23.972,24.635,23.632,24.319,NaN,NaN,NaN,NaN
2022-02-07,24.372,25.182,24.202,24.728,NaN,NaN,NaN,NaN
2022-02-08,24.359,25.23,23.98,25.108,NaN,NaN,NaN,NaN
2022-02-09,25.622,26.725,25.353,26.705,NaN,NaN,NaN,NaN
2022-02-10,25.995,26.92499,25.6,25.824,NaN,NaN,NaN,NaN
2022-02-11,25.916,26.152,23.773,23.949,NaN,NaN,NaN,NaN
2022-02-14,23.934,24.875,23.755,24.267,NaN,NaN,NaN,NaN
2022-02-15,24.949,26.545,24.784,26.495,NaN,NaN,NaN,NaN
2022-02-16,26.259,26.582,25.552,26.511,NaN,NaN,NaN,NaN
2022-02-17,25.63,25.785,24.165,24.507,NaN,NaN,NaN,NaN
2022-02-18,24.6675,24.986,23.1,23.642,NaN,NaN,NaN,NaN
2022-02-22,23.035,24.06399,23,23.39,NaN,NaN,NaN,NaN
2022-02-23,23.802,24.15499,22.301,22.387,NaN,NaN,NaN,NaN
2022-02-24,21.015,23.8,20.89,23.748,NaN,NaN,NaN,NaN
2022-02-25,23.721,24.217,23.381,24.157,NaN,NaN,NaN,NaN
2022-02-28,23.992,24.665,23.70701,24.385,NaN,NaN,NaN,NaN
2022-03-01,24.291,24.377,23.132,23.477,NaN,NaN,NaN,NaN
2022-03-02,23.756,24.409,23.415,24.22,NaN,NaN,NaN,NaN
2022-03-03,24.2615,24.32599,23.469,23.714,NaN,NaN,NaN,NaN
2022-03-04,23.384,23.68,22.482,22.936,NaN,NaN,NaN,NaN
2022-03-07,22.817,23.033,21.33,21.352,NaN,NaN,NaN,NaN
2022-03-08,21.309,22.37299,20.65,21.514,NaN,NaN,NaN,NaN
2022-03-09,22.387,23.22,22.247,23.014,NaN,NaN,NaN,NaN
2022-03-10,22.531,22.788,21.882,22.658,NaN,NaN,NaN,NaN
