time,open,high,low,close,Plot,Plot,Plot,Plot
1999-01-01,0.0437502,0.0488294,0.0388023,0.0395835,NaN,NaN,NaN,NaN
1999-02-01,0.0395835,0.0546878,0.0360679,0.0457034,NaN,NaN,NaN,NaN
1999-03-01,0.0468752,0.0479169,0.038021,0.0440106,NaN,NaN,NaN,NaN
1999-04-01,0.0440106,0.0458336,0.0333335,0.038021,NaN,NaN,NaN,NaN
1999-05-03,0.0384117,0.0445315,0.0343752,0.0355471,NaN,NaN,NaN,NaN
1999-06-01,0.0354168,0.0398439,0.0341148,0.0398439,NaN,NaN,NaN,NaN
1999-07-01,0.0398439,0.0481773,0.0356773,0.0419273,NaN,NaN,NaN,NaN
1999-08-02,0.0419273,0.0591149,0.0406252,0.058594,NaN,NaN,NaN,NaN
1999-09-01,0.058594,0.058594,0.034896,0.0401044,NaN,NaN,NaN,NaN
1999-10-01,0.0394533,0.0520836,0.0377606,0.046094,NaN,NaN,NaN,NaN
1999-11-01,0.0453127,0.0924484,0.0453127,0.0721358,NaN,NaN,NaN,NaN
1999-12-01,0.0721358,0.0988286,0.0721358,0.0977869,NaN,NaN,NaN,NaN
2000-01-03,0.098438,0.1005213,0.072917,0.0772139,NaN,NaN,NaN,NaN
2000-02-01,0.0773441,0.1421882,0.0744795,0.133334,NaN,NaN,NaN,NaN
2000-03-01,0.133334,0.3125016,0.1197923,0.17601,NaN,NaN,NaN,NaN
2000-04-03,0.1744149,0.2299491,0.1187506,0.185678,NaN,NaN,NaN,NaN
2000-05-01,0.1927093,0.2457044,0.1572925,0.2377616,NaN,NaN,NaN,NaN
2000-06-01,0.2447929,0.3666685,0.2382824,0.2648451,NaN,NaN,NaN,NaN
2000-07-03,0.266668,0.322137,0.2083344,0.2500013,NaN,NaN,NaN,NaN
2000-08-01,0.2500013,0.3437517,0.2250011,0.3307308,NaN,NaN,NaN,NaN
2000-09-01,0.3375017,0.3557309,0.260418,0.3411475,NaN,NaN,NaN,NaN
2000-10-02,0.3458351,0.3593768,0.2190115,0.2589205,NaN,NaN,NaN,NaN
2000-11-01,0.2526054,0.333335,0.1515633,0.1687508,NaN,NaN,NaN,NaN
2000-12-01,0.1791676,0.2114594,0.1145839,0.1365241,NaN,NaN,NaN,NaN
2001-01-02,0.1375007,0.2375012,0.1177089,0.2151052,NaN,NaN,NaN,NaN
2001-02-01,0.2151052,0.2541679,0.1708342,0.1861988,NaN,NaN,NaN,NaN
2001-03-01,0.1838551,0.2986994,0.1666675,0.2705091,NaN,NaN,NaN,NaN
2001-04-02,0.269793,0.3749602,0.2242199,0.3470851,NaN,NaN,NaN,NaN
2001-05-01,0.3483351,0.4166688,0.3147932,0.3567101,NaN,NaN,NaN,NaN
2001-06-01,0.3591685,0.4150021,0.3456267,0.3864603,NaN,NaN,NaN,NaN
2001-07-02,0.3711685,0.3779186,0.2802681,0.337085,NaN,NaN,NaN,NaN
2001-08-01,0.3437101,0.3780019,0.3343767,0.3529601,NaN,NaN,NaN,NaN
2001-09-04,0.3519934,0.3520018,0.2125843,0.2289178,NaN,NaN,NaN,NaN
2001-10-01,0.2287511,0.4203354,0.1888343,0.3571685,NaN,NaN,NaN,NaN
2001-11-01,0.3617518,0.4665857,0.3562518,0.4553356,NaN,NaN,NaN,NaN
2001-12-03,0.4457523,0.5854196,0.440419,0.5575027,NaN,NaN,NaN,NaN
2002-01-02,0.5599612,0.605503,0.4980024,0.5478362,NaN,NaN,NaN,NaN
2002-02-01,0.5469194,0.5527528,0.4104187,0.4250854,NaN,NaN,NaN,NaN
2002-03-01,0.4291688,0.5040859,0.3489184,0.3696685,NaN,NaN,NaN,NaN
2002-04-01,0.3491683,0.3724185,0.2530846,0.2900848,NaN,NaN,NaN,NaN
2002-05-01,0.2853348,0.3387516,0.255918,0.2788348,NaN,NaN,NaN,NaN
2002-06-03,0.2720846,0.2803931,0.1369173,0.1431673,NaN,NaN,NaN,NaN
2002-07-01,0.1425008,0.1945844,0.0911671,0.0922505,NaN,NaN,NaN,NaN
2002-08-01,0.0930005,0.1120839,0.0707504,0.0842138,NaN,NaN,NaN,NaN
2002-09-03,0.0801754,0.0991672,0.0695837,0.0713337,NaN,NaN,NaN,NaN
2002-10-01,0.071917,0.0998338,0.0600003,0.0991672,NaN,NaN,NaN,NaN
2002-11-01,0.0976672,0.1481674,0.0851671,0.1427507,NaN,NaN,NaN,NaN
2002-12-02,0.150334,0.1522508,0.0932505,0.0959171,NaN,NaN,NaN,NaN
2003-01-02,0.1000005,0.1156672,0.0796671,0.0860004,NaN,NaN,NaN,NaN
2003-02-03,0.0870838,0.1124172,0.0777504,0.1051672,NaN,NaN,NaN,NaN
2003-03-03,0.1064172,0.123584,0.1000005,0.1073339,NaN,NaN,NaN,NaN
2003-04-01,0.1095839,0.1225006,0.1071672,0.1189173,NaN,NaN,NaN,NaN
2003-05-01,0.1185839,0.2219178,0.1179173,0.2180844,NaN,NaN,NaN,NaN
2003-06-02,0.2237512,0.2312512,0.1838343,0.1909176,NaN,NaN,NaN,NaN
2003-07-01,0.1885009,0.2145844,0.1530008,0.1590841,NaN,NaN,NaN,NaN
2003-08-01,0.1591675,0.1789176,0.1271673,0.1514174,NaN,NaN,NaN,NaN
2003-09-02,0.1540842,0.1789176,0.130834,0.133084,NaN,NaN,NaN,NaN
2003-10-01,0.133334,0.156334,0.1329173,0.147334,NaN,NaN,NaN,NaN
2003-11-03,0.1465841,0.1843343,0.1450841,0.1769176,NaN,NaN,NaN,NaN
2003-12-01,0.1789176,0.2016677,0.1625008,0.1933343,NaN,NaN,NaN,NaN
2004-01-02,0.1964177,0.2156677,0.1762508,0.1854176,NaN,NaN,NaN,NaN
2004-02-02,0.1869175,0.202751,0.1824,0.1854176,NaN,NaN,NaN,NaN
2004-03-01,0.1849176,0.2223344,0.1719334,0.220001,NaN,NaN,NaN,NaN
2004-04-01,0.2224178,0.2279179,0.1703342,0.1710009,NaN,NaN,NaN,NaN
2004-05-03,0.1728343,0.196501,0.1658341,0.1954176,NaN,NaN,NaN,NaN
2004-06-01,0.1925843,0.2009177,0.1606675,0.1705842,NaN,NaN,NaN,NaN
2004-07-01,0.1725009,0.1727509,0.1153339,0.1285006,NaN,NaN,NaN,NaN
2004-08-02,0.1282506,0.130834,0.0775004,0.1038339,NaN,NaN,NaN,NaN
2004-09-01,0.1025005,0.1265006,0.1011672,0.1210006,NaN,NaN,NaN,NaN
2004-10-01,0.1215839,0.1324173,0.1090005,0.1205839,NaN,NaN,NaN,NaN
2004-11-01,0.1221673,0.1710842,0.1206673,0.1594175,NaN,NaN,NaN,NaN
2004-12-01,0.1607507,0.2080011,0.1596675,0.1963343,NaN,NaN,NaN,NaN
2005-01-03,0.2028343,0.206001,0.1705009,0.191001,NaN,NaN,NaN,NaN
2005-02-01,0.1908342,0.2440845,0.1896675,0.2415846,NaN,NaN,NaN,NaN
2005-03-01,0.2426679,0.246668,0.1955843,0.1980009,NaN,NaN,NaN,NaN
2005-04-01,0.2004177,0.203251,0.1743342,0.1827508,NaN,NaN,NaN,NaN
2005-05-02,0.1849176,0.2325845,0.1793342,0.2258345,NaN,NaN,NaN,NaN
2005-06-01,0.2243345,0.2449179,0.2147511,0.2226678,NaN,NaN,NaN,NaN
2005-07-01,0.2219178,0.2441679,0.2118344,0.2255011,NaN,NaN,NaN,NaN
2005-08-01,0.2268345,0.2588346,0.2253344,0.2556679,NaN,NaN,NaN,NaN
2005-09-01,0.2564179,0.2882514,0.2486679,0.2856681,NaN,NaN,NaN,NaN
2005-10-03,0.2890014,0.2995848,0.2542512,0.2795847,NaN,NaN,NaN,NaN
2005-11-01,0.2795847,0.3208349,0.273668,0.3012514,NaN,NaN,NaN,NaN
2005-12-01,0.3037515,0.3186683,0.2951681,0.3046682,NaN,NaN,NaN,NaN
2006-01-03,0.3063765,0.3896685,0.3054181,0.3746686,NaN,NaN,NaN,NaN
2006-02-01,0.3677518,0.4226688,0.3572518,0.392752,NaN,NaN,NaN,NaN
2006-03-01,0.3941686,0.4852524,0.3855018,0.477169,NaN,NaN,NaN,NaN
2006-04-03,0.4797107,0.5140025,0.462169,0.4870024,NaN,NaN,NaN,NaN
2006-05-01,0.4903358,0.531336,0.3806686,0.3830019,NaN,NaN,NaN,NaN
2006-06-01,0.3873354,0.4115021,0.3186683,0.3548349,NaN,NaN,NaN,NaN
2006-07-03,0.3630018,0.3785021,0.2861681,0.3690018,NaN,NaN,NaN,NaN
2006-08-01,0.3645018,0.4920025,0.3475019,0.4851691,NaN,NaN,NaN,NaN
2006-09-01,0.4780022,0.5208359,0.4390022,0.4931691,NaN,NaN,NaN,NaN
2006-10-02,0.4908358,0.5811696,0.461169,0.5811696,NaN,NaN,NaN,NaN
2006-11-01,0.5735029,0.6215029,0.525336,0.6165032,NaN,NaN,NaN,NaN
2006-12-01,0.6096697,0.6493367,0.5816694,0.6168363,NaN,NaN,NaN,NaN
2007-01-03,0.6178366,0.6253365,0.4985192,0.5108357,NaN,NaN,NaN,NaN
2007-02-01,0.5060025,0.5818362,0.5050025,0.5166693,NaN,NaN,NaN,NaN
2007-03-01,0.5055025,0.5266695,0.4673355,0.4796691,NaN,NaN,NaN,NaN
2007-04-02,0.4785026,0.5656695,0.4713357,0.5481694,NaN,NaN,NaN,NaN
2007-05-01,0.5581696,0.600003,0.5366694,0.5773197,NaN,NaN,NaN,NaN
2007-06-01,0.5838363,0.7311703,0.5736695,0.6885034,NaN,NaN,NaN,NaN
