time,open,high,low,close,Plot,Plot,Plot,Plot
2008-02-11,0.63,0.6775003,0.54775,0.55675,NaN,NaN,NaN,NaN
2008-02-19,0.5669998,0.568,0.529,0.5580003,NaN,NaN,NaN,NaN
2008-02-25,0.5575,0.57575,0.5325,0.53475,NaN,NaN,NaN,NaN
2008-03-03,0.534,0.54175,0.475,0.48875,NaN,NaN,NaN,NaN
2008-03-10,0.48275,0.4995,0.453,0.4580003,NaN,NaN,NaN,NaN
2008-03-17,0.438,0.475,0.43275,0.463,NaN,NaN,NaN,NaN
2008-03-24,0.4732498,0.5175,0.4715,0.4919998,NaN,NaN,NaN,NaN
2008-03-31,0.49725,0.5265,0.46825,0.4695,NaN,NaN,NaN,NaN
2008-04-07,0.4810003,0.5127498,0.46025,0.46325,NaN,NaN,NaN,NaN
2008-04-14,0.4615003,0.4830003,0.44025,0.4755,NaN,NaN,NaN,NaN
2008-04-21,0.47175,0.5165,0.47175,0.5037498,NaN,NaN,NaN,NaN
2008-04-28,0.5015,0.563,0.4892503,0.563,NaN,NaN,NaN,NaN
2008-05-05,0.55925,0.5857498,0.5252498,0.56325,NaN,NaN,NaN,NaN
2008-05-12,0.5705003,0.6115003,0.532,0.61025,NaN,NaN,NaN,NaN
2008-05-19,0.6105,0.63275,0.56925,0.57775,NaN,NaN,NaN,NaN
2008-05-27,0.5787498,0.6195,0.5677503,0.6175,NaN,NaN,NaN,NaN
2008-06-02,0.6175,0.6337503,0.5825,0.6015,NaN,NaN,NaN,NaN
2008-06-09,0.598,0.60625,0.5169998,0.53275,NaN,NaN,NaN,NaN
2008-06-16,0.527,0.53325,0.4845,0.4939998,NaN,NaN,NaN,NaN
2008-06-23,0.49775,0.51125,0.4677503,0.482,NaN,NaN,NaN,NaN
2008-06-30,0.4765,0.48075,0.31,0.31225,NaN,NaN,NaN,NaN
2008-07-07,0.317,0.319,0.283,0.29175,NaN,NaN,NaN,NaN
2008-07-14,0.294,0.29625,0.2675,0.289,NaN,NaN,NaN,NaN
2008-07-21,0.2935,0.29775,0.27275,0.289,NaN,NaN,NaN,NaN
2008-07-28,0.28525,0.2985,0.2675,0.271,NaN,NaN,NaN,NaN
2008-08-04,0.271,0.2975,0.26375,0.275,NaN,NaN,NaN,NaN
2008-08-11,0.277,0.33725,0.27275,0.324,NaN,NaN,NaN,NaN
2008-08-18,0.32625,0.353,0.32275,0.34025,NaN,NaN,NaN,NaN
2008-08-25,0.33825,0.34625,0.315,0.316,NaN,NaN,NaN,NaN
2008-09-02,0.32125,0.324,0.28475,0.29175,NaN,NaN,NaN,NaN
2008-09-08,0.2945,0.29575,0.24025,0.25475,NaN,NaN,NaN,NaN
2008-09-15,0.24575,0.2875,0.22,0.28525,NaN,NaN,NaN,NaN
2008-09-22,0.283,0.29425,0.26625,0.29225,NaN,NaN,NaN,NaN
2008-09-29,0.2845,0.288,0.224255,0.22575,NaN,NaN,NaN,NaN
2008-10-06,0.215,0.2155,0.157,0.17025,NaN,NaN,NaN,NaN
2008-10-13,0.18475,0.21,0.1725,0.19125,NaN,NaN,NaN,NaN
2008-10-20,0.19775,0.19925,0.14925,0.16525,NaN,NaN,NaN,NaN
2008-10-27,0.16425,0.22325,0.159,0.219,NaN,NaN,NaN,NaN
2008-11-03,0.22375,0.22775,0.19,0.218,NaN,NaN,NaN,NaN
2008-11-10,0.22625,0.2275,0.171505,0.17925,NaN,NaN,NaN,NaN
2008-11-17,0.1775,0.18225,0.14375,0.1595,NaN,NaN,NaN,NaN
2008-11-24,0.16925,0.19075,0.16,0.18675,NaN,NaN,NaN,NaN
2008-12-01,0.17925,0.195,0.1685,0.184,NaN,NaN,NaN,NaN
2008-12-08,0.1875,0.22,0.17375,0.215,NaN,NaN,NaN,NaN
2008-12-15,0.21625,0.23625,0.20125,0.213,NaN,NaN,NaN,NaN
2008-12-22,0.21625,0.2167575,0.1825,0.18775,NaN,NaN,NaN,NaN
2008-12-29,0.19025,0.21925,0.178,0.21775,NaN,NaN,NaN,NaN
2009-01-05,0.21525,0.23575,0.197,0.19825,NaN,NaN,NaN,NaN
2009-01-12,0.19825,0.2014975,0.18,0.19975,NaN,NaN,NaN,NaN
2009-01-20,0.19925,0.2,0.177,0.19275,NaN,NaN,NaN,NaN
2009-01-26,0.193625,0.22325,0.1905,0.19875,NaN,NaN,NaN,NaN
2009-02-02,0.19575,0.24825,0.19475,0.24675,NaN,NaN,NaN,NaN
2009-02-09,0.24575,0.24925,0.1965,0.20775,NaN,NaN,NaN,NaN
2009-02-17,0.2,0.2075,0.18125,0.19025,NaN,NaN,NaN,NaN
2009-02-23,0.1935,0.2135,0.18025,0.207,NaN,NaN,NaN,NaN
2009-03-02,0.202,0.2175,0.18675,0.20975,NaN,NaN,NaN,NaN
2009-03-09,0.20825,0.29625,0.207,0.245,NaN,NaN,NaN,NaN
2009-03-16,0.2475,0.26225,0.23175,0.23825,NaN,NaN,NaN,NaN
2009-03-23,0.24575,0.267625,0.238875,0.2615,NaN,NaN,NaN,NaN
2009-03-30,0.2515,0.283625,0.23425,0.283,NaN,NaN,NaN,NaN
2009-04-06,0.27825,0.302,0.27225,0.301,NaN,NaN,NaN,NaN
2009-04-13,0.29725,0.3,0.27275,0.294,NaN,NaN,NaN,NaN
2009-04-20,0.28275,0.29525,0.2685,0.28575,NaN,NaN,NaN,NaN
2009-04-27,0.282,0.2985,0.26875,0.29175,NaN,NaN,NaN,NaN
2009-05-04,0.29675,0.30975,0.22775,0.23125,NaN,NaN,NaN,NaN
2009-05-11,0.2275,0.2415,0.20825,0.2185,NaN,NaN,NaN,NaN
2009-05-18,0.224,0.25625,0.2235,0.2455,NaN,NaN,NaN,NaN
2009-05-26,0.24325,0.267,0.24075,0.26075,NaN,NaN,NaN,NaN
2009-06-01,0.26375,0.2795,0.25625,0.27075,NaN,NaN,NaN,NaN
2009-06-08,0.26875,0.305,0.2625,0.28775,NaN,NaN,NaN,NaN
2009-06-15,0.2825,0.2865,0.26875,0.2795,NaN,NaN,NaN,NaN
2009-06-22,0.2805,0.29025,0.252125,0.28925,NaN,NaN,NaN,NaN
2009-06-29,0.29,0.2945,0.26875,0.2725,NaN,NaN,NaN,NaN
2009-07-06,0.27225,0.2725,0.24275,0.25925,NaN,NaN,NaN,NaN
2009-07-13,0.2645,0.30275,0.24875,0.30175,NaN,NaN,NaN,NaN
2009-07-20,0.30425,0.326,0.29125,0.324,NaN,NaN,NaN,NaN
2009-07-27,0.321,0.33025,0.3145,0.32325,NaN,NaN,NaN,NaN
2009-08-03,0.331,0.35575,0.32475,0.34275,NaN,NaN,NaN,NaN
2009-08-10,0.34525,0.35025,0.322,0.3355,NaN,NaN,NaN,NaN
2009-08-17,0.32525,0.34875,0.318,0.34825,NaN,NaN,NaN,NaN
2009-08-24,0.34625,0.37575,0.3345,0.36825,NaN,NaN,NaN,NaN
2009-08-31,0.364,0.38025,0.34875,0.37775,NaN,NaN,NaN,NaN
2009-09-08,0.3805,0.4122503,0.3775,0.4079498,NaN,NaN,NaN,NaN
2009-09-14,0.402,0.4145,0.374205,0.3805,NaN,NaN,NaN,NaN
2009-09-21,0.376,0.38525,0.35975,0.3625,NaN,NaN,NaN,NaN
2009-09-28,0.36375,0.38025,0.3435,0.34625,NaN,NaN,NaN,NaN
2009-10-05,0.35,0.35625,0.33725,0.35425,NaN,NaN,NaN,NaN
2009-10-12,0.34825,0.3625,0.3245,0.3305,NaN,NaN,NaN,NaN
2009-10-19,0.33325,0.35075,0.32675,0.32875,NaN,NaN,NaN,NaN
2009-10-26,0.33125,0.33625,0.2975,0.299,NaN,NaN,NaN,NaN
2009-11-02,0.2985,0.33575,0.289,0.329,NaN,NaN,NaN,NaN
2009-11-09,0.3335,0.34625,0.324,0.339,NaN,NaN,NaN,NaN
2009-11-16,0.342,0.34775,0.31625,0.3225,NaN,NaN,NaN,NaN
2009-11-23,0.32725,0.333175,0.31325,0.31975,NaN,NaN,NaN,NaN
2009-11-30,0.321,0.358,0.3175,0.3565,NaN,NaN,NaN,NaN
2009-12-07,0.39625,0.41125,0.3775,0.38025,NaN,NaN,NaN,NaN
2009-12-14,0.38575,0.437,0.3815,0.4205003,NaN,NaN,NaN,NaN
2009-12-21,0.423,0.4552503,0.4224998,0.45225,NaN,NaN,NaN,NaN
2009-12-28,0.4515,0.47375,0.4405,0.4669998,NaN,NaN,NaN,NaN
