paper_id,title,year,month,topic,venue,citations,num_authors,page_length,has_code,impact_score
arxiv_2023_00000,Paper_0,2023,11,Multimodal Learning,AAAI,11,7,14,False,2.030140916568954
arxiv_2022_00001,Paper_1,2022,6,Transformers,EMNLP,0,4,8,False,4.729282111983735
arxiv_2024_00002,Paper_2,2024,12,LLMs,ArXiv,9,2,19,True,2.281386091104235
arxiv_2022_00003,Paper_3,2022,12,Federated Learning,ECCV,1,3,10,True,0.33631965439652123
arxiv_2023_00004,Paper_4,2023,9,NLP,ICCV,2,4,15,False,0.6507611697722432
arxiv_2024_00005,Paper_5,2024,8,Reinforcement Learning,CVPR,2,4,5,False,1.165601159428085
arxiv_2023_00006,Paper_6,2023,6,NLP,ICML,10,4,17,False,1.9766390885599217
arxiv_2023_00007,Paper_7,2023,9,Multimodal Learning,ICML,15,2,12,True,3.91203541603873
arxiv_2020_00008,Paper_8,2020,1,LLMs,IJCAI,25,7,14,True,6.212562594700106
arxiv_2022_00009,Paper_9,2022,1,Transformers,ICCV,3,7,12,False,2.009094006256505
arxiv_2024_00010,Paper_10,2024,3,Multimodal Learning,ArXiv,8,3,8,False,9.449524523650217
arxiv_2024_00011,Paper_11,2024,10,Federated Learning,AAAI,0,7,18,True,2.8931718924957153
arxiv_2022_00012,Paper_12,2022,7,Computer Vision,CVPR,71,7,10,False,7.043745737692917
arxiv_2023_00013,Paper_13,2023,7,Reinforcement Learning,ArXiv,53,5,17,False,10.257598652604065
arxiv_2023_00014,Paper_14,2023,12,GANs,ICCV,2,1,10,False,1.5881795426524206
arxiv_2022_00015,Paper_15,2022,9,GANs,ICLR,0,3,12,False,5.895360951241509
arxiv_2021_00016,Paper_16,2021,12,Multimodal Learning,EMNLP,9,1,7,False,17.8389906914585
arxiv_2023_00017,Paper_17,2023,12,Federated Learning,NeurIPS,3,1,14,False,3.4925981641481925
arxiv_2024_00018,Paper_18,2024,1,Computer Vision,ArXiv,1,4,13,False,1.3857240677986309
arxiv_2023_00019,Paper_19,2023,7,Multimodal Learning,ArXiv,26,5,7,False,2.5443413901259837
arxiv_2020_00020,Paper_20,2020,9,Graph Neural Networks,ICLR,44,3,7,True,3.588152922747442
arxiv_2022_00021,Paper_21,2022,4,Federated Learning,ArXiv,35,7,5,False,5.630278956926933
arxiv_2020_00022,Paper_22,2020,9,NLP,ICCV,14,4,19,False,4.05066180343254
arxiv_2023_00023,Paper_23,2023,1,NLP,ACL,46,3,10,False,2.1478380790582197
arxiv_2022_00024,Paper_24,2022,4,Multimodal Learning,NeurIPS,30,3,4,True,11.441152500887528
arxiv_2023_00025,Paper_25,2023,3,LLMs,ICML,3,2,5,False,5.277207410676244
arxiv_2020_00026,Paper_26,2020,4,Computer Vision,ArXiv,34,4,11,False,9.459780387317005
arxiv_2020_00027,Paper_27,2020,1,Reinforcement Learning,EMNLP,13,6,9,False,11.130276056242614
arxiv_2022_00028,Paper_28,2022,11,NLP,NeurIPS,25,1,8,True,3.4576762010182605
arxiv_2023_00029,Paper_29,2023,3,Computer Vision,ArXiv,104,6,16,True,10.749063481367553
arxiv_2023_00030,Paper_30,2023,9,Transformers,NeurIPS,16,7,6,False,0.3916797118320865
arxiv_2024_00031,Paper_31,2024,5,Federated Learning,ArXiv,6,2,12,False,9.296332463302232
arxiv_2022_00032,Paper_32,2022,8,Multimodal Learning,ArXiv,33,7,5,True,1.7498487164740268
arxiv_2021_00033,Paper_33,2021,1,Multimodal Learning,EMNLP,17,5,13,False,8.306640995435144
arxiv_2020_00034,Paper_34,2020,8,Diffusion Models,ArXiv,49,4,4,True,2.5273982549987677
arxiv_2023_00035,Paper_35,2023,3,Federated Learning,ArXiv,17,7,18,True,3.133034740910548
arxiv_2024_00036,Paper_36,2024,6,Diffusion Models,NeurIPS,0,6,18,False,0.6794452064871399
arxiv_2020_00037,Paper_37,2020,8,Transformers,ArXiv,167,7,7,False,1.0807157693331124
arxiv_2022_00038,Paper_38,2022,7,Multimodal Learning,ICML,21,6,6,False,1.5792573271806865
arxiv_2023_00039,Paper_39,2023,10,Federated Learning,ArXiv,4,6,10,False,5.831778110922138
arxiv_2020_00040,Paper_40,2020,10,Diffusion Models,ArXiv,14,6,9,False,5.396951748483993
arxiv_2024_00041,Paper_41,2024,1,Federated Learning,ACL,9,7,6,True,2.200070646615562
arxiv_2024_00042,Paper_42,2024,6,LLMs,ACL,0,6,17,False,0.9638614996917466
arxiv_2021_00043,Paper_43,2021,10,Transformers,NeurIPS,24,5,10,True,14.893956094190399
arxiv_2023_00044,Paper_44,2023,2,GANs,ICCV,54,1,11,False,0.8892643438365366
arxiv_2021_00045,Paper_45,2021,1,GANs,ICML,34,1,4,False,8.591786983681756
arxiv_2023_00046,Paper_46,2023,3,Computer Vision,ICCV,4,5,16,True,2.3681235530970204
arxiv_2024_00047,Paper_47,2024,3,NLP,NeurIPS,10,5,13,False,2.0823110468634525
arxiv_2022_00048,Paper_48,2022,9,Federated Learning,ArXiv,35,5,14,False,6.641467893822002
arxiv_2024_00049,Paper_49,2024,9,GANs,ArXiv,13,3,4,False,0.6830505173888363
arxiv_2020_00050,Paper_50,2020,7,Multimodal Learning,ACL,13,7,16,False,1.3605934130961537
arxiv_2020_00051,Paper_51,2020,1,GANs,EMNLP,17,3,4,True,15.915311384501187
arxiv_2022_00052,Paper_52,2022,12,LLMs,CVPR,25,7,19,False,1.7351138937309851
arxiv_2020_00053,Paper_53,2020,4,Transformers,AAAI,76,7,16,False,18.296255414065794
arxiv_2021_00054,Paper_54,2021,5,Reinforcement Learning,ICML,138,1,13,False,10.082097297931425
arxiv_2024_00055,Paper_55,2024,8,Diffusion Models,ICCV,1,5,8,True,4.353067721232859
arxiv_2024_00056,Paper_56,2024,1,Graph Neural Networks,AAAI,42,4,7,False,0.4359699684897863
arxiv_2024_00057,Paper_57,2024,12,Graph Neural Networks,ICCV,23,7,17,False,0.057092947162708345
arxiv_2023_00058,Paper_58,2023,10,GANs,ArXiv,2,1,10,False,4.377768886014342
arxiv_2020_00059,Paper_59,2020,12,Computer Vision,ArXiv,37,5,9,False,19.061039656452653
arxiv_2024_00060,Paper_60,2024,5,Graph Neural Networks,ACL,2,3,7,True,0.9089011081668945
arxiv_2020_00061,Paper_61,2020,1,Transformers,ICLR,115,1,14,True,15.019980029304655
arxiv_2023_00062,Paper_62,2023,8,Transformers,ArXiv,4,2,11,False,4.381218530033215
arxiv_2023_00063,Paper_63,2023,5,LLMs,ArXiv,12,7,4,True,2.6484006307869477
arxiv_2024_00064,Paper_64,2024,12,Reinforcement Learning,ICML,5,5,18,False,0.43186746623259364
arxiv_2021_00065,Paper_65,2021,11,Transformers,ArXiv,18,1,5,False,0.8150475496723985
arxiv_2024_00066,Paper_66,2024,10,LLMs,NeurIPS,18,2,12,False,1.596944460750306
arxiv_2023_00067,Paper_67,2023,1,Transformers,EMNLP,48,7,8,False,7.075140281354252
arxiv_2022_00068,Paper_68,2022,1,Transformers,NeurIPS,92,5,7,True,5.569147695866251
arxiv_2021_00069,Paper_69,2021,12,Multimodal Learning,ArXiv,27,6,9,False,1.8392373366018855
arxiv_2020_00070,Paper_70,2020,6,Transformers,ArXiv,78,1,19,False,2.7282567934328634
arxiv_2024_00071,Paper_71,2024,5,NLP,AAAI,1,4,5,False,4.456986878324723
arxiv_2022_00072,Paper_72,2022,3,NLP,EMNLP,17,7,15,True,3.707511095209075
arxiv_2020_00073,Paper_73,2020,5,GANs,NeurIPS,33,4,7,False,19.56826548790296
arxiv_2024_00074,Paper_74,2024,2,Reinforcement Learning,AAAI,1,7,14,True,5.120420255379033
arxiv_2023_00075,Paper_75,2023,8,LLMs,ICLR,14,2,16,True,0.20863606358782652
arxiv_2024_00076,Paper_76,2024,2,Diffusion Models,ArXiv,0,1,8,False,1.155461031725483
arxiv_2021_00077,Paper_77,2021,1,Diffusion Models,ECCV,3,7,12,False,3.5836863945722097
arxiv_2022_00078,Paper_78,2022,1,Diffusion Models,IJCAI,41,5,7,True,2.3139255501218488
arxiv_2021_00079,Paper_79,2021,12,Federated Learning,ICML,55,6,14,True,6.247459374780129
arxiv_2022_00080,Paper_80,2022,12,NLP,ICLR,15,1,10,False,0.10137680375157257
arxiv_2020_00081,Paper_81,2020,1,Federated Learning,ArXiv,38,1,4,False,3.2119846115394406
arxiv_2021_00082,Paper_82,2021,3,LLMs,CVPR,30,2,18,False,2.8251732469149102
arxiv_2022_00083,Paper_83,2022,10,LLMs,CVPR,31,2,14,False,21.53097886084906
arxiv_2024_00084,Paper_84,2024,9,Computer Vision,ArXiv,2,6,10,False,9.512925049380975
arxiv_2020_00085,Paper_85,2020,7,Reinforcement Learning,IJCAI,59,7,9,False,17.445298320633576
arxiv_2023_00086,Paper_86,2023,6,Graph Neural Networks,ArXiv,3,3,17,False,4.068252109523711
arxiv_2021_00087,Paper_87,2021,3,Transformers,ArXiv,15,3,7,False,1.3880629178480293
arxiv_2020_00088,Paper_88,2020,10,Graph Neural Networks,CVPR,19,3,4,False,3.028136076624641
arxiv_2024_00089,Paper_89,2024,7,Diffusion Models,IJCAI,16,1,18,False,7.140331114141043
arxiv_2022_00090,Paper_90,2022,8,Graph Neural Networks,NeurIPS,57,4,15,False,13.510693574585357
arxiv_2022_00091,Paper_91,2022,9,NLP,ArXiv,2,6,15,False,0.752791232070963
arxiv_2020_00092,Paper_92,2020,5,Reinforcement Learning,ArXiv,84,3,17,False,2.2223070083903407
arxiv_2024_00093,Paper_93,2024,10,LLMs,IJCAI,5,6,19,False,1.7932263771532102
arxiv_2020_00094,Paper_94,2020,9,Computer Vision,AAAI,37,5,11,True,3.913711031816166
arxiv_2022_00095,Paper_95,2022,7,Reinforcement Learning,CVPR,47,5,4,False,11.216516652682227
arxiv_2023_00096,Paper_96,2023,6,LLMs,ACL,30,1,17,True,6.259937784936202
arxiv_2024_00097,Paper_97,2024,11,Diffusion Models,EMNLP,7,7,7,False,4.631173448653624
arxiv_2024_00098,Paper_98,2024,8,Transformers,CVPR,12,2,14,False,5.920008545438085
arxiv_2023_00099,Paper_99,2023,10,Transformers,ICCV,8,6,11,False,1.6978925959569682
arxiv_2022_00100,Paper_100,2022,12,Diffusion Models,ICML,28,7,11,False,13.44994268345626
arxiv_2023_00101,Paper_101,2023,4,Transformers,IJCAI,21,1,15,False,0.35705864801618536
arxiv_2022_00102,Paper_102,2022,8,LLMs,AAAI,3,5,8,True,1.0309459577495297
arxiv_2020_00103,Paper_103,2020,1,Graph Neural Networks,IJCAI,46,7,12,False,1.1507137456078536
arxiv_2020_00104,Paper_104,2020,5,Diffusion Models,CVPR,38,3,9,False,2.1305324297924764
arxiv_2021_00105,Paper_105,2021,11,Computer Vision,ICLR,11,1,10,True,0.17233179840328722
arxiv_2020_00106,Paper_106,2020,1,Graph Neural Networks,ArXiv,11,1,10,False,3.0715782273796197
arxiv_2023_00107,Paper_107,2023,6,Graph Neural Networks,ArXiv,115,1,10,False,0.34716025414127083
arxiv_2022_00108,Paper_108,2022,11,Multimodal Learning,NeurIPS,1,6,19,False,0.3398347008957824
arxiv_2022_00109,Paper_109,2022,2,NLP,NeurIPS,15,6,6,True,1.0040254310431276
arxiv_2024_00110,Paper_110,2024,7,Federated Learning,ICCV,3,6,5,False,0.12857074366323515
arxiv_2023_00111,Paper_111,2023,2,Federated Learning,NeurIPS,16,3,11,True,3.521120307633305
arxiv_2020_00112,Paper_112,2020,5,Reinforcement Learning,IJCAI,5,6,19,False,8.866254999877821
arxiv_2023_00113,Paper_113,2023,4,Transformers,ArXiv,10,7,19,True,5.0152485432919
arxiv_2020_00114,Paper_114,2020,7,Transformers,ArXiv,10,4,16,False,11.159315104109137
arxiv_2024_00115,Paper_115,2024,4,Diffusion Models,ICLR,8,4,7,False,2.633180196399056
arxiv_2020_00116,Paper_116,2020,2,Transformers,ArXiv,148,6,15,True,10.142524638596619
arxiv_2022_00117,Paper_117,2022,7,Computer Vision,NeurIPS,9,2,16,False,1.2296504404929374
arxiv_2022_00118,Paper_118,2022,4,Diffusion Models,ICML,9,3,9,False,0.626405219231015
arxiv_2023_00119,Paper_119,2023,9,Graph Neural Networks,ArXiv,10,6,13,False,0.5634853128338272
arxiv_2024_00120,Paper_120,2024,11,LLMs,ArXiv,13,2,15,False,3.4087998100312826
arxiv_2021_00121,Paper_121,2021,1,Diffusion Models,ICCV,21,2,15,False,1.0189779350859043
arxiv_2024_00122,Paper_122,2024,4,Reinforcement Learning,ArXiv,4,3,19,False,6.39227609916472
arxiv_2022_00123,Paper_123,2022,6,NLP,IJCAI,82,5,11,True,0.15839839412128923
arxiv_2023_00124,Paper_124,2023,3,Reinforcement Learning,NeurIPS,13,5,14,False,7.368249795733673
arxiv_2024_00125,Paper_125,2024,9,LLMs,NeurIPS,6,3,11,False,1.414481268792658
arxiv_2022_00126,Paper_126,2022,2,Transformers,ArXiv,102,6,5,True,1.888738229660722
arxiv_2022_00127,Paper_127,2022,11,Computer Vision,ArXiv,90,7,4,True,3.903349230758683
arxiv_2022_00128,Paper_128,2022,8,Transformers,ACL,35,6,11,True,3.361088330856207
arxiv_2022_00129,Paper_129,2022,10,LLMs,ICCV,26,1,10,False,3.2047675799092277
arxiv_2024_00130,Paper_130,2024,7,LLMs,ArXiv,1,3,10,False,6.833724478748522
arxiv_2023_00131,Paper_131,2023,7,Reinforcement Learning,ICCV,20,6,18,False,4.112604074733103
arxiv_2024_00132,Paper_132,2024,2,Reinforcement Learning,IJCAI,5,7,15,False,8.147615873061667
arxiv_2023_00133,Paper_133,2023,6,LLMs,NeurIPS,43,2,15,True,0.12351706872077611
arxiv_2021_00134,Paper_134,2021,2,Federated Learning,ArXiv,19,3,14,False,2.1593930842414184
arxiv_2020_00135,Paper_135,2020,5,LLMs,ECCV,73,1,18,False,6.6890888798683275
arxiv_2020_00136,Paper_136,2020,3,Multimodal Learning,ArXiv,17,6,8,True,0.0901780141597453
arxiv_2020_00137,Paper_137,2020,1,LLMs,ICCV,79,5,14,False,20.179580715258616
arxiv_2022_00138,Paper_138,2022,2,LLMs,CVPR,7,4,16,False,4.679111114360969
arxiv_2024_00139,Paper_139,2024,10,NLP,ECCV,2,3,11,False,0.2979150416638424
arxiv_2020_00140,Paper_140,2020,9,Reinforcement Learning,NeurIPS,9,2,6,False,5.953977012106687
arxiv_2022_00141,Paper_141,2022,3,Graph Neural Networks,ECCV,26,6,8,True,10.496624056457119
arxiv_2022_00142,Paper_142,2022,11,LLMs,ArXiv,57,2,12,False,13.411143933070965
arxiv_2022_00143,Paper_143,2022,11,NLP,EMNLP,9,5,19,False,0.4225972361777927
arxiv_2023_00144,Paper_144,2023,12,Transformers,ICML,13,6,16,False,4.235210454556722
arxiv_2021_00145,Paper_145,2021,8,Computer Vision,ICLR,81,4,4,True,0.8741490824417466
arxiv_2024_00146,Paper_146,2024,11,LLMs,CVPR,9,6,15,True,10.637731590260767
arxiv_2021_00147,Paper_147,2021,9,Reinforcement Learning,ICCV,5,3,8,False,0.8762921736478159
arxiv_2023_00148,Paper_148,2023,2,Federated Learning,ArXiv,1,3,4,False,0.6156079967033821
arxiv_2021_00149,Paper_149,2021,12,Multimodal Learning,EMNLP,13,7,13,False,9.166705721825954
arxiv_2023_00150,Paper_150,2023,12,Transformers,ArXiv,55,4,5,False,0.9098736063353857
arxiv_2023_00151,Paper_151,2023,6,Computer Vision,NeurIPS,1,3,5,False,18.150971875721705
arxiv_2024_00152,Paper_152,2024,12,GANs,CVPR,14,7,16,True,1.9549288510861509
arxiv_2022_00153,Paper_153,2022,11,Diffusion Models,ArXiv,5,2,16,False,0.5390042302933244
arxiv_2020_00154,Paper_154,2020,7,Federated Learning,CVPR,91,7,17,True,0.7039893706900713
arxiv_2022_00155,Paper_155,2022,1,Multimodal Learning,ACL,72,5,14,False,7.137542129908749
arxiv_2024_00156,Paper_156,2024,3,Computer Vision,EMNLP,2,5,6,True,5.272979294379948
arxiv_2023_00157,Paper_157,2023,2,Multimodal Learning,ArXiv,4,5,8,True,3.022876759091843
