id,name,href,company,gbfs_href,location.latitude,location.longitude,location.city,location.country,system,source,ebikes,license.name,license.url,scooters,instances
abu-dhabi-careem-bike,Abu Dhabi Careem BIKE,/v2/networks/abu-dhabi-careem-bike,"[""Careem""]",https://dubai.publicbikesystem.net/customer/gbfs/v2/en/gbfs.json,24.4866,54.3728,Abu Dhabi,AE,,,,,,,
acces-velo-saguenay,Accès Vélo,/v2/networks/acces-velo-saguenay,"[""PBSC Urban Solutions""]",https://saguenay.publicbikesystem.net/customer/gbfs/v2/gbfs.json,48.433333,-71.083333,Saguenay,CA,,,,,,,
aksu,Aksu,/v2/networks/aksu,"[""阿克苏公共服务""]",,41.1664,80.2617,阿克苏市 (Aksu City),CN,,,,,,,
alba,Alba,/v2/networks/alba,"[""Comunicare S.r.l.""]",,44.716667,8.083333,Alba,IT,Bicincittà,https://www.bicincitta.com/frmLeStazioni.aspx?ID=139,,,,,
albabici,AlbaBici,/v2/networks/albabici,"[""Instituto Tecnológico de Castilla y León (ITCL)""]",,38.9943,-1.8602,Albacete,ES,bicicard,,,,,,
algira,AlGira,/v2/networks/algira,"[""Município de Almeirim"", ""Wegoshare, Lda""]",,39.2082,-8.6252,Almeirim,PT,,,True,,,,
almatybike,Almatybike,/v2/networks/almatybike,"[""Velobike.kz, LLP"", ""Smoove""]",,43.239101,76.9268076,Almaty,KZ,Velobike,,,,,,
alsa-nextbike-leon,Alsa nextbike León,/v2/networks/alsa-nextbike-leon,"[""Leonbici Nextbike Gmbh Y Autobuses Urbanos De Leon S.a. Ute""]",,42.5987263,-5.5670959,León,ES,Nextbike,,,,,,
altervelo,alterVélo libre service,/v2/networks/altervelo,"[""Ecovelo""]",https://api.gbfs.ecovelo.mobi/altervelo/gbfs.json,-21.3414,55.4777,Saint-Pierre,FR,Ecovelo,,True,,,,
ambici-amb,Ambici,/v2/networks/ambici-amb,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.44584,2.19902,Barcelona,ES,Ambici,,,,,,
ambici-badalona,Ambici,/v2/networks/ambici-badalona,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.447,2.245,Badalona,ES,Ambici,,,,,,
ambici-castelldefels,Ambici,/v2/networks/ambici-castelldefels,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.2816,1.97678,Castelldefels,ES,Ambici,,,,,,
ambici-cornella-de-llobregat,Ambici,/v2/networks/ambici-cornella-de-llobregat,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.3585,2.07081,Cornellà de Llobregat,ES,Ambici,,,,,,
ambici-el-prat-de-llobregat,Ambici,/v2/networks/ambici-el-prat-de-llobregat,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.3239,2.09317,El Prat de Llobregat,ES,Ambici,,,,,,
ambici-esplugues-de-llobregat,Ambici,/v2/networks/ambici-esplugues-de-llobregat,"[""Nextbike GmbH"", ""TIER Mobility SE"", ""Transports Metropolitans de Barcelona"", ""Projectes i Serveis de Mobilitat S.A""]",https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,41.3771,2.08938,Esplugues de Llobregat,ES,Ambici,,,,,,
