icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
39de4e,TVF32DD ,France,1755600234.0,1755600237,27.5943,40.9151,3535.68,False,155.44,83.16,-13.98,,3718.56,0674,False,0
39de4b,TVF48LB ,France,1755600236.0,1755600237,2.3048,48.7157,167.64,False,70.45,61.19,-4.23,,220.98,2272,False,0
39de4a,TVF8393 ,France,1755600238.0,1755600238,4.0351,46.5247,10355.58,False,230.22,330.11,-0.33,,10820.4,1000,False,0
39de4d,TVF17HP ,France,1755600182.0,1755600182,-7.7757,32.688,11887.2,False,237.76,212.45,-0.33,,12649.2,7616,False,0
aa9321,UAL803  ,United States,1755600238.0,1755600238,140.1061,35.9174,2202.18,False,142.66,182.69,-2.93,,2392.68,3242,False,0
801645,AIC402  ,India,1755600236.0,1755600239,72.8513,20.1017,8892.54,False,196.29,7.83,3.25,,9403.08,,False,0
ab6fdd,AAL2817 ,United States,1755600195.0,1755600195,-70.0759,19.2717,10972.8,False,231.57,282.18,0.0,,11650.98,,False,0
a3b87f,DAL1040 ,United States,1755600238.0,1755600238,-96.2486,31.2856,9090.66,False,240.28,41.09,5.85,,9654.54,,False,0
39de51,TVF87JQ ,France,1755600238.0,1755600238,6.5247,48.2866,10591.8,False,236.45,96.12,4.55,,11056.62,7551,False,0
39de50,TVF71UW ,France,1755600239.0,1755600239,1.3327,41.4571,10965.18,False,253.33,7.7,0.0,,11437.62,1465,False,0
aa096a,CXK554  ,United States,1755600236.0,1755600236,-71.0621,43.0662,327.66,False,40.75,316.02,-3.9,,403.86,,False,0
a3b88e,AAL2729 ,United States,1755600238.0,1755600238,-75.5092,40.4851,10972.8,False,233.8,238.86,0.0,,11628.12,3474,False,0
80160b,IGO2575 ,India,1755600237.0,1755600237,77.2031,26.1268,10972.8,False,238.01,7.2,0.0,,11727.18,,False,0
801615,AXB2980 ,India,1755600075.0,1755600225,77.9805,13.4514,2628.9,False,103.23,192.37,-3.9,,2598.42,,False,0
a23565,TRF50   ,United States,1755600238.0,1755600238,-96.6781,34.5274,1661.16,False,64.9,12.82,-1.3,,1752.6,,False,0
c047e5,RS290   ,Canada,1755600102.0,1755600105,-103.3912,54.9183,4541.52,False,150.5,103.04,0.0,,4648.2,,False,0
801618,SDG222  ,India,1755600238.0,1755600238,76.4231,26.8171,8663.94,False,194.49,91.06,1.95,,9204.96,,False,0
801619,IGO1082 ,India,1755600234.0,1755600234,98.2146,13.6077,10980.42,False,233.59,359.12,0.0,,11681.46,,False,0
a1befc,UAL1735 ,United States,1755600238.0,1755600238,-124.2036,36.2649,11277.6,False,274.33,64.92,0.0,,11772.9,,False,0
801622,IGO1497 ,India,1755600238.0,1755600238,73.3709,16.3279,10980.42,False,241.24,316.3,-0.33,,11635.74,,False,0
80160f,IGO6553 ,India,1755600238.0,1755600238,73.1774,19.4161,7879.08,False,219.25,338.67,0.98,,8275.32,,False,0
3d10d4,DEEPW   ,Germany,1755600236.0,1755600238,7.6076,51.5141,137.16,False,11.05,62.24,-0.33,,190.5,,False,0
511153,TVS3J2  ,Estonia,1755600239.0,1755600239,25.0494,40.2008,10660.38,False,230.08,152.86,-0.33,,11148.06,6715,False,0
a97808,N709WY  ,United States,1755600238.0,1755600238,-81.2695,26.1634,3550.92,False,148.23,141.34,-4.88,,3756.66,,False,0
80161c,AXB2642 ,India,1755600237.0,1755600237,88.7825,21.5357,9083.04,False,245.57,348.64,-4.88,,9646.92,0217,False,0
80161a,IGO769Y ,India,1755600009.0,1755600009,78.2588,14.0619,4930.14,False,183.37,199.5,-5.53,,5158.74,,False,0
a3685d,JANET11 ,United States,1755600238.0,1755600238,-115.2793,36.0888,1905.0,False,143.74,319.35,15.61,,1981.2,,False,0
