countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
AFE,2024,1416.25036869408,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2023,1412.62538438423,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2022,1421.79716897878,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2021,1409.04069884703,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2020,1383.72411941014,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2019,1463.43789056716,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2018,1471.43831747146,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2017,1472.97115180926,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2016,1472.69922995631,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2015,1479.61525980543,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2014,1475.73903934085,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2013,1457.67290748026,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2012,1436.27450997855,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2011,1449.85349970149,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2010,1431.21195789305,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2009,1398.07772680316,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
AFE,2008,1424.16219679945,,,1,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),ZH,Africa Eastern and Southern
