university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q470997,Point(12.478932 41.882936),1887-01-01T00:00:00Z,Pontificio Ateneo Sant Anselmo,Italy
http://www.wikidata.org/entity/Q472167,Point(-97.153366666 49.890122222),1967-01-01T00:00:00Z,University of Winnipeg,Canada
http://www.wikidata.org/entity/Q474969,Point(100.58646111 13.964875),1986-01-01T00:00:00Z,Rangsit University,Thailand
http://www.wikidata.org/entity/Q476521,Point(100.49555 13.65155278),1960-01-01T00:00:00Z,King Mongkut's University of Technology Thonburi,Thailand
http://www.wikidata.org/entity/Q477625,Point(33.993231 -11.421996),1997-01-01T00:00:00Z,Mzuzu University,Malawi
http://www.wikidata.org/entity/Q478044,Point(119.486854 -5.132855),1956-09-10T00:00:00Z,Hasanuddin University,Indonesia
http://www.wikidata.org/entity/Q481659,Point(17.1064 48.1425),1400-01-01T00:00:00Z,Universitas Istropolitana,Slovakia
http://www.wikidata.org/entity/Q481659,Point(17.1064 48.1425),1400-01-01T00:00:00Z,Universitas Istropolitana,Kingdom of Hungary
http://www.wikidata.org/entity/Q481659,Point(17.1064 48.1425),1467-01-01T00:00:00Z,Universitas Istropolitana,Slovakia
http://www.wikidata.org/entity/Q481659,Point(17.1064 48.1425),1467-01-01T00:00:00Z,Universitas Istropolitana,Kingdom of Hungary
http://www.wikidata.org/entity/Q482648,Point(127.168 37.227),1953-01-01T00:00:00Z,Yong In University,South Korea
http://www.wikidata.org/entity/Q482649,Point(126.836 37.3343),1962-01-01T00:00:00Z,Seoul Institute of the Arts,South Korea
http://www.wikidata.org/entity/Q482658,Point(127.404904 36.333338),1981-01-01T00:00:00Z,Eulji University,South Korea
http://www.wikidata.org/entity/Q482661,Point(126.71625 37.53819444),1993-01-01T00:00:00Z,Gyeongin National University of Education,South Korea
http://www.wikidata.org/entity/Q482669,Point(127.300611111 36.350777777),1927-01-01T00:00:00Z,Hanbat National University,South Korea
http://www.wikidata.org/entity/Q482674,Point(128.093972222 35.180583333),1910-04-30T00:00:00Z,Gyeongnam National University of Science and Technology,South Korea
http://www.wikidata.org/entity/Q482677,Point(127.48463 36.61611),1993-01-01T00:00:00Z,Cheongju National University of Education,South Korea
http://www.wikidata.org/entity/Q482678,Point(127.07861111 37.63166667),1910-01-01T00:00:00Z,Seoul National University of Science and Technology,South Korea
http://www.wikidata.org/entity/Q482680,Point(126.436194444 34.910194444),1946-01-01T00:00:00Z,Mokpo National University,South Korea
http://www.wikidata.org/entity/Q482688,Point(126.682167 35.945278),1991-01-01T00:00:00Z,Kunsan National University,South Korea
http://www.wikidata.org/entity/Q482692,Point(128.06711 35.1864),1940-01-01T00:00:00Z,Chinju National University of Education,South Korea
http://www.wikidata.org/entity/Q482699,Point(127.155118 35.808312),1923-01-01T00:00:00Z,Jeonju National University of Education,South Korea
http://www.wikidata.org/entity/Q482711,Point(128.589 35.853055555),1950-01-01T00:00:00Z,Daegu National University of Education,South Korea
http://www.wikidata.org/entity/Q482724,Point(126.95 37.46),1982-01-01T00:00:00Z,Hallym University,South Korea
http://www.wikidata.org/entity/Q482751,Point(129.0985 35.13977778),1955-01-01T00:00:00Z,Kyungsung University,South Korea
http://www.wikidata.org/entity/Q482756,Point(126.976388888 37.208972222),1977-01-01T00:00:00Z,University of Suwon,South Korea
http://www.wikidata.org/entity/Q482819,Point(127.182 36.837),1937-01-01T00:00:00Z,Sangmyung University,South Korea
http://www.wikidata.org/entity/Q482952,Point(127.480194444 34.9695),1935-01-01T00:00:00Z,Sunchon National University,South Korea
http://www.wikidata.org/entity/Q483064,,1978-01-01T00:00:00Z,University of the Nations,United States
http://www.wikidata.org/entity/Q483189,Point(127.034595 37.301217),1947-01-01T00:00:00Z,Kyonggi University,South Korea
http://www.wikidata.org/entity/Q483680,Point(128.69192 35.24558),1969-01-01T00:00:00Z,Changwon National University,South Korea
http://www.wikidata.org/entity/Q484108,Point(129.19 35.573),2009-01-01T00:00:00Z,Ulsan National Institute of Science and Technology,South Korea
http://www.wikidata.org/entity/Q484477,Point(127.74879 37.85961),1993-01-01T00:00:00Z,Chuncheon National University of Education,South Korea
http://www.wikidata.org/entity/Q484775,Point(126.926 35.165),1993-01-01T00:00:00Z,Gwangju National University of Education,South Korea
http://www.wikidata.org/entity/Q486676,Point(127.13292 37.275948),1946-01-01T00:00:00Z,Kangnam University,South Korea
http://www.wikidata.org/entity/Q486999,Point(127.87133 36.96976),2012-01-01T00:00:00Z,Korea National University of Transportation,South Korea
http://www.wikidata.org/entity/Q487613,Point(127.01638889 37.49),1993-01-01T00:00:00Z,Seoul National University of Education,South Korea
http://www.wikidata.org/entity/Q487841,Point(128.610555555 35.891388888),1946-01-01T00:00:00Z,Kyungpook National University,South Korea
http://www.wikidata.org/entity/Q487855,Point(126.5619 33.455972222),1952-01-01T00:00:00Z,Jeju National University,South Korea
